rdspend,administration,marketingspend,Profit
165349.2,136897.8,471784.1,192261.83
162597.7,151377.59,443898.53,191792.06
153441.51,101145.55,407934.54,191050.39
144372.41,118671.85,383199.62,182901.99
142107.34,91391.77,366168.42,166187.94
131876.9,99814.71,362861.36,156991.12
134615.46,147198.87,127716.82,156122.51
130298.13,145530.06,323876.68,155752.6
120542.52,148718.95,311613.29,152211.77
123334.88,108679.17,304981.62,149759.96
101913.08,110594.11,229160.95,146121.95
100671.96,91790.61,249744.55,144259.4
93863.75,127320.38,249839.44,141585.52
91992.39,135495.07,252664.93,134307.35
119943.24,156547.42,256512.92,132602.65
114523.61,122616.84,261776.23,129917.04
78013.11,121597.55,264346.06,126992.93
94657.16,145077.58,282574.31,125370.37
91749.16,114175.79,294919.57,124266.9
86419.7,153514.11,0,122776.86
76253.86,113867.3,298664.47,118474.03
78389.47,153773.43,299737.29,111313.02
73994.56,122782.75,303319.26,110352.25
67532.53,105751.03,304768.73,108733.99
77044.01,99281.34,140574.81,108552.04
64664.71,139553.16,137962.62,107404.34
75328.87,144135.98,134050.07,105733.54
72107.6,127864.55,353183.81,105008.31
66051.52,182645.56,118148.2,103282.38
65605.48,153032.06,107138.38,101004.64
61994.48,115641.28,91131.24,99937.59
61136.38,152701.92,88218.23,97483.56
63408.86,129219.61,46085.25,97427.84
55493.95,103057.49,214634.81,96778.92
46426.07,157693.92,210797.67,96712.8
46014.02,85047.44,205517.64,96479.51
28663.76,127056.21,201126.82,90708.19
44069.95,51283.14,197029.42,89949.14
20229.59,65947.93,185265.1,81229.06
38558.51,82982.09,174999.3,81005.76
28754.33,118546.05,172795.67,78239.91
27892.92,84710.77,164470.71,77798.83
23640.93,96189.63,148001.11,71498.49
15505.73,127382.3,35534.17,69758.98
22177.74,154806.14,28334.72,65200.33
1000.23,124153.04,1903.93,64926.08
1315.46,115816.21,297114.46,49490.75
0,135426.92,0,42559.73
542.05,51743.15,0,35673.41
0,116983.8,45173.06,14681.4
87151,123327.9523,236937.1317,123485.2464
38772,116183.1212,143589.7191,82155.48418
89939,123739.6968,242316.5853,125867.0108
65485,120128.2187,195132.5255,104976.1696
47724,117505.1933,160862.6275,89803.10053
30744,114997.5096,128099.6711,75297.23305
76381,121737.3896,216156.3873,114284.5283
143923,131712.2998,346478.8607,171985.0761
27280,114485.9303,121415.8737,72337.96774
141092,131294.2049,341016.4385,169566.5772
128338,129410.636,316407.5606,158670.9451
76660,121778.5936,216694.7185,114522.8756
43088,116820.5277,151917.4528,85842.60573
60955,119459.2077,186391.8781,101106.2297
12052,112236.9898,92033.40609,59328.81874
126549,129146.4284,312955.6803,157142.6178
22986,113851.7728,113130.5889,68669.64059
150633,132703.2632,359425.824,177717.3712
53116,118301.5084,171266.5062,94409.4396
157923,133779.8836,373491.8989,183945.1553
39157,116239.9797,144332.5776,82484.38635
111768,126963.503,284435.7004,144515.3371
65903,120189.9508,195939.0576,105333.2634
85800,123128.4304,234330.3735,122331.0988
139796,131102.8057,338515.8029,168459.4156
13947,112516.8521,95689.81377,60947.70089
133094,130113.0238,325584.2756,162733.9549
155148,133370.059,368137.5289,181574.4968
28731,114700.2205,124215.5821,73577.54452
41847,116637.2512,149522.94,84782.43014
140277,131173.8419,339443.8938,168870.3298
27595,114532.4509,122023.667,72607.06952
9078,111797.776,86295.06497,56788.15621
21586,113645.0144,110429.2851,67473.63267
4330,111096.5697,77133.786,52731.98078
106761,126224.0464,274774.6802,140237.9002
137618,130781.1487,334313.346,166598.769
63161,119784.9998,190648.3612,102990.7964
34384,115535.0813,135123.0611,78406.85364
73431,121301.7202,210464.3542,111764.3688
17125,112986.1936,101821.7734,63662.63887
109497,126628.1113,280053.7997,142575.2414
78366,122030.5434,219986.4502,115980.2967
98190,124958.2421,258236.9123,132915.7689
125158,128940.9992,310271.742,155954.2985
138570,130921.7444,336150.2326,167412.0544
46445,117316.3048,158394.7935,88710.46186
134739,130355.9649,328758.3076,164139.2642
96620,124726.3773,255207.593,131574.5314
140797,131250.6379,340447.2352,169314.5613
44017,116957.7267,153709.9609,86636.24242
